Nombre,Cargo,Sexo,Departamento,Ciudades,Tipo de Agrupación,Nombre de Agrupación,Contar_x,201 - Gastos de Administración,202 - Gastos de oficina y adquisiciones,203 - Inversión en materiales y publicaciones,204 - Actos públicos,205 - Servicio de transporte y correo,206 - Gastos de capacitación e investigación politica,207 - Gastos judiciales y de rendición de cuentas,208 - Gastos de propaganda electoral,209 - Costos financieros,211 - Otros gastos,Total de Gastos,proportion 201 - Gastos de Administración,proportion 202 - Gastos de oficina y adquisiciones,proportion 203 - Inversión en materiales y publicaciones,proportion 204 - Actos públicos,proportion 205 - Servicio de transporte y correo,proportion 206 - Gastos de capacitación e investigación politica,proportion 207 - Gastos judiciales y de rendición de cuentas,proportion 208 - Gastos de propaganda electoral,proportion 209 - Costos financieros,proportion 211 - Otros gastos,Contar_y,101 - Recursos propios y familiares,102 - Donaciones de particulares,106 - Recursos de origen privado destinado por los partidos,107 - Rendimientos financieros,104 - Ingresos de actos públicos del partido,103 - Créditos de entidades financieras,105 - Financiación estatal - Anticipos,Total de Ingresos,proportion 101 - Recursos propios y familiares,proportion 102 - Donaciones de particulares,proportion 106 - Recursos de origen privado destinado por los partidos,proportion 107 - Rendimientos financieros,proportion 104 - Ingresos de actos públicos del partido,proportion 103 - Créditos de entidades financieras,proportion 105 - Financiación estatal - Anticipos
jair_zambrano_bravo,Alcaldia_fun,M,Nariño,Belén,Agrupacion Politica,"MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL ""MAIS""",6.0,0.0,18257810.0,17500000.0,0.0,2742190.0,0.0,1500000.0,0.0,0.0,0.0,40000000.0,0.0,0.45644525,0.4375,0.0,0.06855475,0.0,0.0375,0.0,0.0,0.0,4.0,30000000.0,10000000.0,0.0,0.0,0.0,0.0,0.0,40000000.0,0.75,0.25,0.0,0.0,0.0,0.0,0.0
jairo_acevedo_pico,Alcaldia_fun,M,Santander,Betulia,Agrupacion Politica,PARTIDO POLITICO LA FUERZA DE LA PAZ,1.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
jairo_alberto_carcamo_wilches,Alcaldia_fun,M,Sucre,San Benito Abad,Agrupacion Politica,MOVIMIENTO FUERZA CIUDADANA,1.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0,0.0,0.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,100000.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
jairo_alberto_suarez_comesaña,Alcaldia_fun,M,Norte de Santander,Pamplona,Agrupacion Politica,NUEVA FUERZA DEMOCRATICA,36.0,14700000.0,480000.0,0.0,23701506.68,0.0,1653000.0,0.0,12560000.0,222327.76,0.0,53316834.44,0.2757102921506456,0.009002785049816997,0.0,0.44454077082675353,0.0,0.031003341015307287,0.0,0.23557287547021144,0.004169935487265211,0.0,6.0,63100000.0,0.0,0.0,422.44,0.0,0.0,0.0,63100422.44,0.9999933052746136,0.0,0.0,6.694725386374133e-06,0.0,0.0,0.0
jairo_alexander_burbano_macias,Alcaldia_fun,M,Cauca,Piamonte,Agrupacion Politica,"MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL ""MAIS""",1.0,0.0,0.0,0.0,0.0,0.0,0.0,800000.0,600000.0,0.0,0.0,1400000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5714285714285714,0.42857142857142855,0.0,0.0,1.0,1400000.0,0.0,0.0,0.0,0.0,0.0,0.0,1400000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
jairo_alexander_morillo_melo,Alcaldia_fun,M,Nariño,Santacruz,Agrupacion Politica,PARTIDO ALIANZA VERDE,7.0,6000000.0,12000000.0,2900000.0,0.0,35900000.0,0.0,0.0,5300000.0,0.0,0.0,62100000.0,0.0966183574879227,0.1932367149758454,0.04669887278582931,0.0,0.5780998389694042,0.0,0.0,0.0853462157809984,0.0,0.0,2.0,42600000.0,0.0,0.0,0.0,0.0,0.0,0.0,42600000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
jairo_alfonso_aguilar_deluque,Gobernación,M,La Guajira,Desconocido,Coalicion Politica,LA U-CAMBIO RADICAL-ASI-FUERZA DE LA PAZ-PARTIDO DEMOCRATA,121.0,198561768.0,10011000.0,0.0,0.0,251000000.0,23305000.0,2283000000.0,1715099904.0,1939146.0,0.0,4482916818.0,0.044292985139212544,0.002233144268883911,0.0,0.0,0.055990331784023746,0.005198624231978779,0.5092666432785905,0.3825857078394712,0.00043256345783929286,0.0,48.0,430700000.0,343905000.0,120000000.0,0.0,0.0,0.0,0.0,894605000.0,0.4814415300607531,0.38442105733815485,0.1341374126010921,0.0,0.0,0.0,0.0
jairo_alfonso_gomez_remolina,Alcaldia_fun,M,Norte de Santander,Bucarasica,Agrupacion Politica,NUEVA FUERZA DEMOCRATICA,10.0,3000000.0,0.0,0.0,26562515.0,0.0,0.0,0.0,6020000.0,153443.0,0.0,35735958.0,0.08394905769701207,0.0,0.0,0.7432993681042495,0.0,0.0,0.0,0.16845777577867088,0.004293798420067541,0.0,4.0,29570000.0,10550000.0,0.0,0.0,0.0,0.0,0.0,40120000.0,0.7370388833499502,0.26296111665004984,0.0,0.0,0.0,0.0,0.0
jairo_alfonso_piraquive_godoy,Alcaldia_fun,M,Guaviare,San José del Guaviare,Agrupacion Politica,PARTIDO POLITICO DIGNIDAD & COMPROMISO,7.0,12400000.0,0.0,0.0,11895600.0,7849996.0,0.0,6180000.0,3290000.0,60000.0,0.0,41675596.0,0.29753623679431,0.0,0.0,0.2854332305169673,0.18835953779761183,0.0,0.14828822124103516,0.07894308218171613,0.0014396914683595648,0.0,13.0,8400000.0,33245596.0,0.0,0.0,0.0,0.0,0.0,41645596.0,0.20170199989453866,0.7982980001054614,0.0,0.0,0.0,0.0,0.0
jairo_alonso_arango_pineda,Alcaldia_fun,M,Antioquia,Uramita,Agrupacion Politica,PARTIDO CAMBIO RADICAL,1.0,0.0,0.0,0.0,8000000.0,0.0,0.0,2000000.0,0.0,0.0,0.0,10000000.0,0.0,0.0,0.0,0.8,0.0,0.0,0.2,0.0,0.0,0.0,3.0,0.0,18000000.0,0.0,0.0,0.0,0.0,0.0,18000000.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
jairo_alonso_gauta_granados,Alcaldia_fun,M,Norte de Santander,Silos,Agrupacion Politica,PARTIDO CONSERVADOR COLOMBIANO,1.0,700000.0,0.0,4249990.0,0.0,0.0,0.0,800000.0,0.0,0.0,0.0,5749990.0,0.12173934215537766,0.0,0.7391299810956193,0.0,0.0,0.0,0.13913067674900303,0.0,0.0,0.0,4.0,23000000.0,0.0,0.0,0.0,0.0,0.0,0.0,23000000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
jairo_alonso_londoño_correa,Alcaldia_fun,M,Antioquia,Ciudad Bolívar,Agrupacion Politica,PARTIDO LIBERAL COLOMBIANO,37.0,18577958.0,543160.0,0.0,599135.0,10000000.0,0.0,14000000.0,0.0,0.0,0.0,43720253.0,0.4249279618761584,0.012423532864734337,0.0,0.013703831951750142,0.2287269472113988,0.0,0.32021772609595833,0.0,0.0,0.0,13.0,11270135.0,24400000.0,0.0,0.0,0.0,0.0,0.0,35670135.0,0.3159543691101814,0.6840456308898186,0.0,0.0,0.0,0.0,0.0
